size,rmq_mb,build_ns
1000,0.0152588,31640
1000,0.0152588,31250
1000,0.0152588,31114
1000,0.0152588,31524
1000,0.0152588,35594
1000,0.0152588,31867
1000,0.0152588,31355
1000,0.0152588,31139
1000,0.0152588,31381
1000,0.0152588,30950
1000,0.0152588,31372
1000,0.0152588,31695
1000,0.0152588,30558
1000,0.0152588,30999
1000,0.0152588,31383
1000,0.0152588,31251
1000,0.0152588,30884
1000,0.0152588,31922
1000,0.0152588,31641
1000,0.0152588,31347
1000,0.0152588,31387
1000,0.0152588,30759
1000,0.0152588,32216
1000,0.0152588,30934
1000,0.0152588,31841
1000,0.0152588,30957
1000,0.0152588,41716
1000,0.0152588,31508
1000,0.0152588,30905
1000,0.0152588,31003
2000,0.0305176,65107
2000,0.0305176,71983
2000,0.0305176,64184
2000,0.0305176,63976
2000,0.0305176,65128
2000,0.0305176,80338
2000,0.0305176,65066
2000,0.0305176,64382
2000,0.0305176,65140
2000,0.0305176,64766
2000,0.0305176,65336
2000,0.0305176,68801
2000,0.0305176,64663
2000,0.0305176,64272
2000,0.0305176,64218
2000,0.0305176,64358
2000,0.0305176,68732
2000,0.0305176,65461
2000,0.0305176,74683
2000,0.0305176,64036
2000,0.0305176,64945
2000,0.0305176,64699
2000,0.0305176,65394
2000,0.0305176,64324
2000,0.0305176,64917
2000,0.0305176,64129
2000,0.0305176,77427
2000,0.0305176,65619
2000,0.0305176,64964
2000,0.0305176,64880
3000,0.0457764,97962
3000,0.0457764,102754
3000,0.0457764,99014
3000,0.0457764,102457
3000,0.0457764,106789
3000,0.0457764,105172
3000,0.0457764,98586
3000,0.0457764,97011
3000,0.0457764,102328
3000,0.0457764,98506
3000,0.0457764,101838
3000,0.0457764,98672
3000,0.0457764,112061
3000,0.0457764,111501
3000,0.0457764,101442
3000,0.0457764,108707
3000,0.0457764,113163
3000,0.0457764,102352
3000,0.0457764,97926
3000,0.0457764,103184
3000,0.0457764,97939
3000,0.0457764,102244
3000,0.0457764,98425
3000,0.0457764,103123
3000,0.0457764,98380
3000,0.0457764,108285
3000,0.0457764,98143
3000,0.0457764,97518
3000,0.0457764,97427
3000,0.0457764,103403
4000,0.0610352,115623
4000,0.0610352,115765
4000,0.0610352,114873
4000,0.0610352,116192
4000,0.0610352,119735
4000,0.0610352,129317
4000,0.0610352,119504
4000,0.0610352,120388
4000,0.0610352,118158
4000,0.0610352,115875
4000,0.0610352,130618
4000,0.0610352,115351
4000,0.0610352,115736
4000,0.0610352,115142
4000,0.0610352,114740
4000,0.0610352,116716
4000,0.0610352,114416
4000,0.0610352,115259
4000,0.0610352,115665
4000,0.0610352,117209
4000,0.0610352,115831
4000,0.0610352,119223
4000,0.0610352,119981
4000,0.0610352,119280
4000,0.0610352,119010
4000,0.0610352,119298
4000,0.0610352,118521
4000,0.0610352,146176
4000,0.0610352,115356
4000,0.0610352,115362
5000,0.0762939,171632
5000,0.0762939,160835
5000,0.0762939,164200
5000,0.0762939,166310
5000,0.0762939,165994
5000,0.0762939,164228
5000,0.0762939,180253
5000,0.0762939,163158
5000,0.0762939,161798
5000,0.0762939,160398
5000,0.0762939,169622
5000,0.0762939,165002
5000,0.0762939,162421
5000,0.0762939,172378
5000,0.0762939,165373
5000,0.0762939,164636
5000,0.0762939,160416
5000,0.0762939,159966
5000,0.0762939,169296
5000,0.0762939,164613
5000,0.0762939,169535
5000,0.0762939,164795
5000,0.0762939,175202
5000,0.0762939,164530
5000,0.0762939,160577
5000,0.0762939,164610
5000,0.0762939,166451
5000,0.0762939,160192
5000,0.0762939,164164
5000,0.0762939,185173
