size,rmq_mb,build_ns
1000,0.0152588,20690
1000,0.0152588,20402
1000,0.0152588,20335
1000,0.0152588,25321
1000,0.0152588,20368
1000,0.0152588,20377
1000,0.0152588,20274
1000,0.0152588,21971
1000,0.0152588,20604
1000,0.0152588,22406
1000,0.0152588,20475
1000,0.0152588,20370
1000,0.0152588,20728
1000,0.0152588,20639
1000,0.0152588,21044
1000,0.0152588,20894
1000,0.0152588,20344
1000,0.0152588,20618
1000,0.0152588,20349
1000,0.0152588,20763
1000,0.0152588,20544
1000,0.0152588,20298
1000,0.0152588,20861
1000,0.0152588,25899
1000,0.0152588,20625
1000,0.0152588,20515
1000,0.0152588,23659
1000,0.0152588,20202
1000,0.0152588,20386
1000,0.0152588,20411
2000,0.0305176,49760
2000,0.0305176,56929
2000,0.0305176,59021
2000,0.0305176,42656
2000,0.0305176,42699
2000,0.0305176,42970
2000,0.0305176,46130
2000,0.0305176,49291
2000,0.0305176,51706
2000,0.0305176,42900
2000,0.0305176,42787
2000,0.0305176,42831
2000,0.0305176,42830
2000,0.0305176,42806
2000,0.0305176,41921
2000,0.0305176,42842
2000,0.0305176,42571
2000,0.0305176,45323
2000,0.0305176,43510
2000,0.0305176,42720
2000,0.0305176,42433
2000,0.0305176,42051
2000,0.0305176,49696
2000,0.0305176,45975
2000,0.0305176,41903
2000,0.0305176,42155
2000,0.0305176,42947
2000,0.0305176,42438
2000,0.0305176,45666
2000,0.0305176,46095
3000,0.0457764,64501
3000,0.0457764,90903
3000,0.0457764,64254
3000,0.0457764,65916
3000,0.0457764,65660
3000,0.0457764,66255
3000,0.0457764,69041
3000,0.0457764,68777
3000,0.0457764,65427
3000,0.0457764,68488
3000,0.0457764,65276
3000,0.0457764,68835
3000,0.0457764,66172
3000,0.0457764,65975
3000,0.0457764,69281
3000,0.0457764,66049
3000,0.0457764,67652
3000,0.0457764,65381
3000,0.0457764,73933
3000,0.0457764,68690
3000,0.0457764,65835
3000,0.0457764,65675
3000,0.0457764,66293
3000,0.0457764,65527
3000,0.0457764,65459
3000,0.0457764,74815
3000,0.0457764,74244
3000,0.0457764,65442
3000,0.0457764,65934
3000,0.0457764,66473
4000,0.0610352,78198
4000,0.0610352,77621
4000,0.0610352,78278
4000,0.0610352,80252
4000,0.0610352,78032
4000,0.0610352,82106
4000,0.0610352,77803
4000,0.0610352,77462
4000,0.0610352,77937
4000,0.0610352,82457
4000,0.0610352,77853
4000,0.0610352,77509
4000,0.0610352,77992
4000,0.0610352,77396
4000,0.0610352,78100
4000,0.0610352,84108
4000,0.0610352,82001
4000,0.0610352,77505
4000,0.0610352,78700
4000,0.0610352,89369
4000,0.0610352,78430
4000,0.0610352,81186
4000,0.0610352,79209
4000,0.0610352,78634
4000,0.0610352,77629
4000,0.0610352,81171
4000,0.0610352,81145
4000,0.0610352,103053
4000,0.0610352,78056
4000,0.0610352,81407
5000,0.0762939,107487
5000,0.0762939,116016
5000,0.0762939,110367
5000,0.0762939,111397
5000,0.0762939,108072
5000,0.0762939,112365
5000,0.0762939,111589
5000,0.0762939,108690
5000,0.0762939,111116
5000,0.0762939,112429
5000,0.0762939,112972
5000,0.0762939,110198
5000,0.0762939,107308
5000,0.0762939,110155
5000,0.0762939,109602
5000,0.0762939,110077
5000,0.0762939,112952
5000,0.0762939,111888
5000,0.0762939,110385
5000,0.0762939,107628
5000,0.0762939,111246
5000,0.0762939,111292
5000,0.0762939,112810
5000,0.0762939,145218
5000,0.0762939,115954
5000,0.0762939,109902
5000,0.0762939,109722
5000,0.0762939,108294
5000,0.0762939,109063
5000,0.0762939,110338
