size,rmq_mb,build_ns
1000,0.00450993,132413
1000,0.00450993,123328
1000,0.00450993,128120
1000,0.00450993,126225
1000,0.00450993,122809
1000,0.00450993,144010
1000,0.00450993,123265
1000,0.00450993,153923
1000,0.00450993,131129
1000,0.00450993,132151
1000,0.00450993,123447
1000,0.00450993,123539
1000,0.00450993,138897
1000,0.00450993,146603
1000,0.00450993,123647
1000,0.00450993,123076
1000,0.00450993,131605
1000,0.00450993,142607
1000,0.00450993,123353
1000,0.00450993,133103
1000,0.00450993,123357
1000,0.00450993,123357
1000,0.00450993,123117
1000,0.00450993,123279
1000,0.00450993,123104
1000,0.00450993,123213
1000,0.00450993,143719
1000,0.00450993,123455
1000,0.00450993,123081
1000,0.00450993,123495
2000,0.0110569,273087
2000,0.0110569,272917
2000,0.0110569,290336
2000,0.0110569,280798
2000,0.0110569,273166
2000,0.0110569,267419
2000,0.0110569,271752
2000,0.0110569,266329
2000,0.0110569,314445
2000,0.0110569,266391
2000,0.0110569,266377
2000,0.0110569,265994
2000,0.0110569,269809
2000,0.0110569,266134
2000,0.0110569,266264
2000,0.0110569,273192
2000,0.0110569,278202
2000,0.0110569,276949
2000,0.0110569,274408
2000,0.0110569,278238
2000,0.0110569,300114
2000,0.0110569,266461
2000,0.0110569,266217
2000,0.0110569,266273
2000,0.0110569,266839
2000,0.0110569,266434
2000,0.0110569,266609
2000,0.0110569,265988
2000,0.0110569,266682
2000,0.0110569,266394
3000,0.0188704,422664
3000,0.0188704,429552
3000,0.0188704,422247
3000,0.0188704,430842
3000,0.0188704,446135
3000,0.0188704,534684
3000,0.0188704,473616
3000,0.0188704,466494
3000,0.0188704,422529
3000,0.0188704,422817
3000,0.0188704,428859
3000,0.0188704,426187
3000,0.0188704,438534
3000,0.0188704,431238
3000,0.0188704,422695
3000,0.0188704,422399
3000,0.0188704,426964
3000,0.0188704,422647
3000,0.0188704,422207
3000,0.0188704,421757
3000,0.0188704,422229
3000,0.0188704,427682
3000,0.0188704,426796
3000,0.0188704,422625
3000,0.0188704,422503
3000,0.0188704,487857
3000,0.0188704,431242
3000,0.0188704,426438
3000,0.0188704,471994
3000,0.0188704,421880
4000,0.0267515,579398
4000,0.0267515,565888
4000,0.0267515,570523
4000,0.0267515,607447
4000,0.0267515,566173
4000,0.0267515,616488
4000,0.0267515,604164
4000,0.0267515,673906
4000,0.0267515,580103
4000,0.0267515,584523
4000,0.0267515,584563
4000,0.0267515,586423
4000,0.0267515,589412
4000,0.0267515,579540
4000,0.0267515,587631
4000,0.0267515,602124
4000,0.0267515,566033
4000,0.0267515,565827
4000,0.0267515,565596
4000,0.0267515,673804
4000,0.0267515,617367
4000,0.0267515,565913
4000,0.0267515,647656
4000,0.0267515,622267
4000,0.0267515,586381
4000,0.0267515,585588
4000,0.0267515,579693
4000,0.0267515,597122
4000,0.0267515,585878
4000,0.0267515,566060
5000,0.035923,743100
5000,0.035923,777565
5000,0.035923,759992
5000,0.035923,762215
5000,0.035923,798758
5000,0.035923,800795
5000,0.035923,753136
5000,0.035923,782478
5000,0.035923,735524
5000,0.035923,855522
5000,0.035923,737829
5000,0.035923,810371
5000,0.035923,785026
5000,0.035923,841367
5000,0.035923,772110
5000,0.035923,773531
5000,0.035923,769172
5000,0.035923,753304
5000,0.035923,754091
5000,0.035923,758007
5000,0.035923,758581
5000,0.035923,777394
5000,0.035923,767084
5000,0.035923,780650
5000,0.035923,764825
5000,0.035923,759154
5000,0.035923,759443
5000,0.035923,866012
5000,0.035923,758563
5000,0.035923,756877
