size,rmq_mb,build_ns
1000,0.00450993,199027
1000,0.00450993,198597
1000,0.00450993,171935
1000,0.00450993,149017
1000,0.00450993,149589
1000,0.00450993,143343
1000,0.00450993,132694
1000,0.00450993,119249
1000,0.00450993,119505
1000,0.00450993,119534
1000,0.00450993,125909
1000,0.00450993,119748
1000,0.00450993,119341
1000,0.00450993,119330
1000,0.00450993,119428
1000,0.00450993,119041
1000,0.00450993,126267
1000,0.00450993,119616
1000,0.00450993,119488
1000,0.00450993,119524
1000,0.00450993,119493
1000,0.00450993,119536
1000,0.00450993,119473
1000,0.00450993,119269
1000,0.00450993,119529
1000,0.00450993,119348
1000,0.00450993,119314
1000,0.00450993,119394
1000,0.00450993,119526
1000,0.00450993,124705
2000,0.0110569,264584
2000,0.0110569,273146
2000,0.0110569,265081
2000,0.0110569,270025
2000,0.0110569,265413
2000,0.0110569,272603
2000,0.0110569,264781
2000,0.0110569,271773
2000,0.0110569,276027
2000,0.0110569,264809
2000,0.0110569,265264
2000,0.0110569,270476
2000,0.0110569,264548
2000,0.0110569,271670
2000,0.0110569,265187
2000,0.0110569,265488
2000,0.0110569,265460
2000,0.0110569,273729
2000,0.0110569,281036
2000,0.0110569,264715
2000,0.0110569,265420
2000,0.0110569,286010
2000,0.0110569,265141
2000,0.0110569,264303
2000,0.0110569,313696
2000,0.0110569,272196
2000,0.0110569,264490
2000,0.0110569,282584
2000,0.0110569,265457
2000,0.0110569,264904
3000,0.0188704,419613
3000,0.0188704,428330
3000,0.0188704,439158
3000,0.0188704,447218
3000,0.0188704,425554
3000,0.0188704,419771
3000,0.0188704,420166
3000,0.0188704,420139
3000,0.0188704,420338
3000,0.0188704,420539
3000,0.0188704,425833
3000,0.0188704,434718
3000,0.0188704,429064
3000,0.0188704,425301
3000,0.0188704,420167
3000,0.0188704,420190
3000,0.0188704,420201
3000,0.0188704,419709
3000,0.0188704,427284
3000,0.0188704,427325
3000,0.0188704,454259
3000,0.0188704,427073
3000,0.0188704,419902
3000,0.0188704,432449
3000,0.0188704,420289
3000,0.0188704,420853
3000,0.0188704,420398
3000,0.0188704,419795
3000,0.0188704,420127
3000,0.0188704,420206
4000,0.0267515,627292
4000,0.0267515,621378
4000,0.0267515,580328
4000,0.0267515,583704
4000,0.0267515,594701
4000,0.0267515,582881
4000,0.0267515,587017
4000,0.0267515,577285
4000,0.0267515,577304
4000,0.0267515,578123
4000,0.0267515,587421
4000,0.0267515,581163
4000,0.0267515,588192
4000,0.0267515,585838
4000,0.0267515,600429
4000,0.0267515,583116
4000,0.0267515,584622
4000,0.0267515,580626
4000,0.0267515,576201
4000,0.0267515,576920
4000,0.0267515,618987
4000,0.0267515,581971
4000,0.0267515,585644
4000,0.0267515,577080
4000,0.0267515,624194
4000,0.0267515,585862
4000,0.0267515,597623
4000,0.0267515,595041
4000,0.0267515,576760
4000,0.0267515,576838
5000,0.035923,770146
5000,0.035923,755896
5000,0.035923,762999
5000,0.035923,757775
5000,0.035923,749255
5000,0.035923,757222
5000,0.035923,750416
5000,0.035923,757613
5000,0.035923,749529
5000,0.035923,755932
5000,0.035923,753210
5000,0.035923,779879
5000,0.035923,758981
5000,0.035923,759728
5000,0.035923,749358
5000,0.035923,755808
5000,0.035923,749739
5000,0.035923,782248
5000,0.035923,749267
5000,0.035923,755775
5000,0.035923,808708
5000,0.035923,754273
5000,0.035923,801342
5000,0.035923,756239
5000,0.035923,756524
5000,0.035923,760450
5000,0.035923,811975
5000,0.035923,755602
5000,0.035923,754843
5000,0.035923,778819
