size,range,query_ns
1000,99,589
1000,108,327
1000,266,432
1000,9,260
1000,208,290
1000,51,290
1000,78,335
1000,8,162
1000,598,307
1000,28,255
1000,72,225
1000,144,295
1000,25,232
1000,129,225
1000,69,132
1000,76,256
1000,102,259
1000,19,132
1000,43,246
1000,104,227
1000,445,312
1000,626,313
1000,105,266
1000,9,137
1000,454,288
1000,67,338
1000,64,185
1000,141,279
1000,1,94
1000,737,325
1000,103,146
1000,1,123
1000,253,356
1000,86,273
1000,748,287
1000,65,285
1000,582,305
1000,245,247
1000,37,264
1000,140,201
1000,94,240
1000,328,255
1000,66,164
1000,32,227
1000,309,324
1000,150,279
1000,64,246
1000,171,264
1000,139,232
1000,618,263
1000,301,209
1000,456,150
1000,611,172
1000,99,230
1000,590,263
1000,298,210
1000,194,174
1000,48,170
1000,628,261
1000,134,224
1000,71,270
1000,696,239
1000,34,312
1000,20,182
1000,3,135
1000,21,183
1000,70,163
1000,201,253
1000,135,267
1000,535,171
1000,61,194
1000,56,205
1000,76,181
1000,108,280
1000,141,248
1000,505,249
1000,183,280
1000,333,259
1000,60,219
1000,301,298
1000,172,191
1000,49,207
1000,17,231
1000,70,184
1000,723,314
1000,381,266
1000,44,133
1000,437,293
1000,16,204
1000,802,310
1000,715,214
1000,47,307
1000,147,236
1000,274,149
1000,349,242
1000,28,148
1000,651,288
1000,621,298
1000,148,283
1000,401,286
1000,99,483
1000,108,310
1000,266,425
1000,9,287
1000,208,306
1000,51,319
1000,78,409
1000,8,169
1000,598,307
1000,28,266
1000,72,257
1000,144,373
1000,25,220
1000,129,271
1000,69,121
1000,76,251
1000,102,275
1000,19,167
1000,43,308
1000,104,259
1000,445,339
1000,626,307
1000,105,264
1000,9,150
1000,454,284
1000,67,343
1000,64,199
1000,141,306
1000,1,107
1000,737,374
1000,103,194
1000,1,129
1000,253,342
1000,86,304
1000,748,354
1000,65,361
1000,582,351
1000,245,257
1000,37,305
1000,140,222
1000,94,259
1000,328,325
1000,66,189
1000,32,251
1000,309,358
1000,150,321
1000,64,293
1000,171,297
1000,139,256
1000,618,264
1000,301,228
1000,456,146
1000,611,185
1000,99,228
1000,590,312
1000,298,227
1000,194,194
1000,48,198
1000,628,290
1000,134,178
1000,71,288
1000,696,223
1000,34,290
1000,20,186
1000,3,138
1000,21,189
1000,70,138
1000,201,298
1000,135,281
1000,535,169
1000,61,242
1000,56,241
1000,76,213
1000,108,303
1000,141,282
1000,505,274
1000,183,287
1000,333,270
1000,60,230
1000,301,304
1000,172,241
1000,49,226
1000,17,265
1000,70,197
1000,723,369
1000,381,243
1000,44,123
1000,437,301
1000,16,206
1000,802,295
1000,715,215
1000,47,251
1000,147,266
1000,274,177
1000,349,293
1000,28,157
1000,651,303
1000,621,256
1000,148,228
1000,401,313
1000,99,459
1000,108,352
1000,266,433
1000,9,246
1000,208,312
1000,51,307
1000,78,343
1000,8,157
1000,598,318
1000,28,216
1000,72,241
1000,144,483
1000,25,257
1000,129,246
1000,69,140
1000,76,246
1000,102,289
1000,19,147
1000,43,233
1000,104,223
1000,445,276
1000,626,283
1000,105,246
1000,9,130
1000,454,294
1000,67,292
1000,64,181
1000,141,314
1000,1,98
1000,737,315
1000,103,147
1000,1,131
1000,253,350
1000,86,285
1000,748,262
1000,65,302
1000,582,299
1000,245,218
1000,37,297
1000,140,180
1000,94,278
1000,328,293
1000,66,189
1000,32,250
1000,309,336
1000,150,250
1000,64,242
1000,171,245
1000,139,254
1000,618,282
1000,301,199
1000,456,155
1000,611,179
1000,99,221
1000,590,248
1000,298,204
1000,194,169
1000,48,200
1000,628,294
1000,134,206
1000,71,269
1000,696,202
1000,34,269
1000,20,169
1000,3,146
1000,21,183
1000,70,139
1000,201,270
1000,135,285
1000,535,194
1000,61,190
1000,56,193
1000,76,203
1000,108,271
1000,141,254
1000,505,260
1000,183,262
1000,333,240
1000,60,217
1000,301,281
1000,172,210
1000,49,199
1000,17,247
1000,70,174
1000,723,332
1000,381,254
1000,44,126
1000,437,277
1000,16,171
1000,802,308
1000,715,198
1000,47,264
1000,147,201
1000,274,153
1000,349,253
1000,28,141
1000,651,243
1000,621,251
1000,148,267
1000,401,253
1000,99,558
1000,108,463
1000,266,582
1000,9,341
1000,208,360
1000,51,308
1000,78,391
1000,8,182
1000,598,302
1000,28,237
1000,72,242
1000,144,336
1000,25,242
1000,129,255
1000,69,123
1000,76,273
1000,102,275
1000,19,168
1000,43,270
1000,104,261
1000,445,320
1000,626,290
1000,105,257
1000,9,158
1000,454,293
1000,67,345
1000,64,192
1000,141,362
1000,1,127
1000,737,359
