size,range,query_ns
1000,651,1759
1000,43,860
1000,17,658
1000,134,554
1000,147,553
1000,32,473
1000,298,444
1000,28,456
1000,381,430
1000,611,412
1000,9,251
1000,802,736
1000,144,558
1000,715,421
1000,108,679
1000,141,508
1000,69,297
1000,47,470
1000,245,448
1000,3,306
1000,328,598
1000,76,473
1000,274,353
1000,64,380
1000,105,410
1000,748,430
1000,8,275
1000,78,498
1000,70,301
1000,71,493
1000,171,434
1000,129,439
1000,309,555
1000,590,552
1000,301,411
1000,67,547
1000,20,356
1000,201,518
1000,61,417
1000,94,427
1000,401,518
1000,25,344
1000,64,333
1000,737,557
1000,1,217
1000,266,584
1000,194,315
1000,28,363
1000,37,528
1000,34,529
1000,135,478
1000,172,390
1000,86,410
1000,598,476
1000,333,443
1000,626,377
1000,141,476
1000,456,241
1000,208,389
1000,437,566
1000,139,386
1000,48,366
1000,1,217
1000,445,449
1000,454,394
1000,183,464
1000,99,354
1000,99,427
1000,102,418
1000,301,532
1000,49,392
1000,505,402
1000,148,370
1000,44,217
1000,582,546
1000,60,464
1000,696,445
1000,621,516
1000,103,288
1000,19,252
1000,65,466
1000,535,319
1000,51,378
1000,66,370
1000,72,361
1000,349,552
1000,628,496
1000,108,454
1000,16,350
1000,56,377
1000,104,368
1000,253,460
1000,723,458
1000,618,408
1000,150,483
1000,70,335
1000,140,337
1000,21,280
1000,76,367
1000,9,309
1000,651,958
1000,43,822
1000,17,610
1000,134,568
1000,147,529
1000,32,440
1000,298,442
1000,28,444
1000,381,464
1000,611,404
1000,9,220
1000,802,671
1000,144,501
1000,715,476
1000,108,694
1000,141,477
1000,69,290
1000,47,492
1000,245,422
1000,3,290
1000,328,554
1000,76,466
1000,274,360
1000,64,370
1000,105,452
1000,748,508
1000,8,246
1000,78,489
1000,70,277
1000,71,570
1000,171,425
1000,129,446
1000,309,578
1000,590,499
1000,301,423
1000,67,495
1000,20,356
1000,201,522
1000,61,380
1000,94,396
1000,401,471
1000,25,361
1000,64,312
1000,737,492
1000,1,213
1000,266,578
1000,194,306
1000,28,323
1000,37,496
1000,34,516
1000,135,497
1000,172,434
1000,86,405
1000,598,475
1000,333,450
1000,626,372
1000,141,449
1000,456,226
1000,208,387
1000,437,593
1000,139,400
1000,48,380
1000,1,226
1000,445,515
1000,454,337
1000,183,468
1000,99,355
1000,99,332
1000,102,329
1000,301,459
1000,49,394
1000,505,397
1000,148,370
1000,44,198
1000,582,539
1000,60,450
1000,696,401
1000,621,481
