size,range,query_ns
1000,99,310
1000,108,142
1000,266,126
1000,9,123
1000,208,360
1000,51,163
1000,78,67
1000,8,107
1000,598,89
1000,28,111
1000,72,73
1000,144,154
1000,25,75
1000,129,84
1000,69,67
1000,76,75
1000,102,81
1000,19,72
1000,43,79
1000,104,72
1000,445,90
1000,626,196
1000,105,209
1000,9,135
1000,454,118
1000,67,112
1000,64,135
1000,141,148
1000,1,95
1000,737,123
1000,103,93
1000,1,83
1000,253,168
1000,86,88
1000,748,96
1000,65,97
1000,582,95
1000,245,92
1000,37,93
1000,140,154
1000,94,149
1000,328,151
1000,66,138
1000,32,113
1000,309,85
1000,150,165
1000,64,88
1000,171,93
1000,139,92
1000,618,88
1000,301,85
1000,456,80
1000,611,65
1000,99,82
1000,590,78
1000,298,76
1000,194,102
1000,48,104
1000,628,85
1000,134,73
1000,71,74
1000,696,75
1000,34,71
1000,20,70
1000,3,100
1000,21,91
1000,70,75
1000,201,71
1000,135,72
1000,535,87
1000,61,67
1000,56,70
1000,76,69
1000,108,69
1000,141,92
1000,505,93
1000,183,88
1000,333,70
1000,60,74
1000,301,78
1000,172,80
1000,49,82
1000,17,114
1000,70,91
1000,723,73
1000,381,76
1000,44,90
1000,437,80
1000,16,83
1000,802,80
1000,715,75
1000,47,96
1000,147,70
1000,274,78
1000,349,76
1000,28,110
1000,651,75
1000,621,76
1000,148,84
1000,401,76
1000,99,241
1000,108,98
1000,266,141
1000,9,101
1000,208,205
1000,51,77
1000,78,70
1000,8,101
1000,598,117
1000,28,95
1000,72,69
1000,144,67
1000,25,70
1000,129,84
1000,69,62
1000,76,61
1000,102,60
1000,19,62
1000,43,59
1000,104,59
1000,445,79
1000,626,79
1000,105,60
1000,9,155
1000,454,103
1000,67,94
1000,64,75
1000,141,88
1000,1,60
1000,737,88
1000,103,71
1000,1,37
1000,253,147
1000,86,58
1000,748,78
1000,65,57
1000,582,73
1000,245,67
1000,37,82
1000,140,68
1000,94,61
1000,328,71
1000,66,62
1000,32,62
1000,309,83
1000,150,81
1000,64,86
1000,171,71
1000,139,65
1000,618,68
1000,301,83
1000,456,69
1000,611,58
1000,99,52
1000,590,67
1000,298,66
1000,194,78
1000,48,94
1000,628,72
1000,134,63
1000,71,62
1000,696,56
1000,34,58
1000,20,60
1000,3,67
1000,21,66
1000,70,63
1000,201,58
1000,135,61
1000,535,81
1000,61,61
1000,56,63
1000,76,60
1000,108,56
1000,141,72
1000,505,71
1000,183,82
1000,333,61
1000,60,90
1000,301,67
1000,172,56
1000,49,74
1000,17,89
1000,70,86
1000,723,68
1000,381,65
1000,44,61
1000,437,65
1000,16,61
1000,802,69
1000,715,65
1000,47,74
1000,147,62
1000,274,69
1000,349,65
1000,28,74
1000,651,65
1000,621,64
1000,148,70
1000,401,68
1000,99,217
1000,108,116
1000,266,149
1000,9,98
1000,208,101
1000,51,147
1000,78,77
1000,8,132
1000,598,98
1000,28,125
1000,72,79
1000,144,92
1000,25,82
1000,129,77
1000,69,79
1000,76,81
1000,102,78
1000,19,82
1000,43,83
1000,104,83
1000,445,84
1000,626,87
1000,105,77
1000,9,86
1000,454,83
1000,67,78
1000,64,115
1000,141,104
1000,1,83
1000,737,93
1000,103,77
1000,1,72
1000,253,161
1000,86,89
1000,748,83
1000,65,76
1000,582,85
1000,245,77
1000,37,79
1000,140,96
1000,94,86
1000,328,76
1000,66,100
1000,32,82
1000,309,105
1000,150,93
1000,64,96
1000,171,110
1000,139,78
1000,618,108
1000,301,84
1000,456,176
1000,611,146
1000,99,219
1000,590,139
1000,298,87
1000,194,108
1000,48,155
1000,628,98
1000,134,111
1000,71,93
1000,696,96
1000,34,93
1000,20,88
1000,3,95
1000,21,104
1000,70,76
1000,201,79
1000,135,79
1000,535,105
1000,61,82
1000,56,82
1000,76,82
1000,108,78
1000,141,109
1000,505,104
1000,183,109
1000,333,79
1000,60,141
1000,301,84
1000,172,85
1000,49,115
1000,17,130
1000,70,82
1000,723,85
1000,381,84
1000,44,81
1000,437,85
1000,16,85
1000,802,83
1000,715,103
1000,47,126
1000,147,76
1000,274,84
1000,349,87
1000,28,108
1000,651,77
1000,621,81
1000,148,104
