size,index,value,update_ns
1000,93,6064,1123
1000,37,9920,504
1000,807,2592,495
1000,256,1920,454
1000,350,8674,379
1000,490,3450,378
1000,73,4932,402
1000,71,3618,305
1000,681,2864,491
1000,358,7144,401
1000,989,951,339
1000,515,7653,397
1000,22,3188,409
1000,635,1662,387
1000,735,2029,375
1000,865,2653,394
1000,853,1901,401
1000,173,3332,442
1000,959,373,362
1000,611,7246,345
1000,103,6410,348
1000,858,9335,324
1000,204,4262,369
1000,557,6973,439
1000,744,1000,393
1000,40,9772,353
1000,855,4258,311
1000,184,1000,381
1000,984,3030,354
1000,367,7704,336
1000,93,6064,556
1000,37,9920,514
1000,807,2592,505
1000,256,1920,463
1000,350,8674,373
1000,490,3450,436
1000,73,4932,368
1000,71,3618,317
1000,681,2864,513
1000,358,7144,412
1000,989,951,338
1000,515,7653,397
1000,22,3188,353
1000,635,1662,404
1000,735,2029,369
1000,865,2653,351
1000,853,1901,362
1000,173,3332,412
1000,959,373,287
1000,611,7246,262
1000,103,6410,332
1000,858,9335,273
1000,204,4262,360
1000,557,6973,426
1000,744,1000,400
1000,40,9772,290
1000,855,4258,281
1000,184,1000,343
1000,984,3030,318
1000,367,7704,335
1000,93,6064,524
1000,37,9920,480
1000,807,2592,434
1000,256,1920,432
1000,350,8674,359
1000,490,3450,380
1000,73,4932,346
1000,71,3618,260
1000,681,2864,462
1000,358,7144,306
1000,989,951,266
1000,515,7653,340
1000,22,3188,409
1000,635,1662,350
1000,735,2029,352
1000,865,2653,433
1000,853,1901,429
1000,173,3332,457
1000,959,373,328
1000,611,7246,271
1000,103,6410,284
1000,858,9335,304
1000,204,4262,296
1000,557,6973,390
1000,744,1000,728
1000,40,9772,393
1000,855,4258,322
1000,184,1000,314
1000,984,3030,307
1000,367,7704,294
1000,93,6064,591
1000,37,9920,448
1000,807,2592,521
1000,256,1920,529
1000,350,8674,491
1000,490,3450,348
1000,73,4932,333
1000,71,3618,307
1000,681,2864,511
1000,358,7144,352
1000,989,951,256
1000,515,7653,388
1000,22,3188,400
1000,635,1662,394
1000,735,2029,399
1000,865,2653,367
1000,853,1901,365
1000,173,3332,385
1000,959,373,339
1000,611,7246,275
1000,103,6410,281
1000,858,9335,254
1000,204,4262,305
1000,557,6973,421
1000,744,1000,398
1000,40,9772,414
1000,855,4258,336
1000,184,1000,382
1000,984,3030,355
1000,367,7704,357
1000,93,6064,710
1000,37,9920,577
1000,807,2592,494
1000,256,1920,431
1000,350,8674,382
1000,490,3450,387
1000,73,4932,418
1000,71,3618,299
1000,681,2864,472
1000,358,7144,407
1000,989,951,359
1000,515,7653,382
1000,22,3188,392
1000,635,1662,358
1000,735,2029,447
1000,865,2653,445
1000,853,1901,386
1000,173,3332,407
1000,959,373,337
1000,611,7246,296
1000,103,6410,299
1000,858,9335,284
1000,204,4262,376
1000,557,6973,377
1000,744,1000,385
1000,40,9772,316
1000,855,4258,278
1000,184,1000,374
1000,984,3030,329
1000,367,7704,334
1000,93,6064,569
1000,37,9920,484
1000,807,2592,483
1000,256,1920,526
1000,350,8674,388
1000,490,3450,343
1000,73,4932,350
1000,71,3618,274
1000,681,2864,440
1000,358,7144,348
1000,989,951,291
1000,515,7653,346
1000,22,3188,368
1000,635,1662,359
1000,735,2029,389
1000,865,2653,333
1000,853,1901,346
1000,173,3332,385
1000,959,373,310
1000,611,7246,298
1000,103,6410,332
1000,858,9335,274
1000,204,4262,380
1000,557,6973,368
1000,744,1000,377
1000,40,9772,314
1000,855,4258,337
1000,184,1000,341
1000,984,3030,334
1000,367,7704,346
1000,93,6064,581
1000,37,9920,489
1000,807,2592,452
1000,256,1920,393
1000,350,8674,337
1000,490,3450,364
1000,73,4932,370
1000,71,3618,259
1000,681,2864,437
1000,358,7144,354
1000,989,951,292
1000,515,7653,361
1000,22,3188,397
1000,635,1662,373
1000,735,2029,419
1000,865,2653,403
1000,853,1901,345
1000,173,3332,415
1000,959,373,330
1000,611,7246,308
1000,103,6410,329
1000,858,9335,239
1000,204,4262,365
1000,557,6973,373
1000,744,1000,395
1000,40,9772,347
1000,855,4258,343
1000,184,1000,308
1000,984,3030,293
1000,367,7704,327
1000,93,6064,584
1000,37,9920,492
1000,807,2592,512
1000,256,1920,412
1000,350,8674,388
1000,490,3450,493
1000,73,4932,422
1000,71,3618,311
1000,681,2864,578
1000,358,7144,451
1000,989,951,338
1000,515,7653,410
1000,22,3188,429
1000,635,1662,384
1000,735,2029,388
1000,865,2653,358
1000,853,1901,351
1000,173,3332,419
1000,959,373,326
1000,611,7246,337
1000,103,6410,445
1000,858,9335,271
1000,204,4262,388
1000,557,6973,406
1000,744,1000,407
1000,40,9772,309
1000,855,4258,287
1000,184,1000,360
1000,984,3030,364
1000,367,7704,20137
1000,93,6064,544
1000,37,9920,487
1000,807,2592,524
1000,256,1920,427
1000,350,8674,415
1000,490,3450,405
1000,73,4932,361
1000,71,3618,265
1000,681,2864,461
1000,358,7144,351
1000,989,951,291
1000,515,7653,371
1000,22,3188,418
1000,635,1662,401
1000,735,2029,364
1000,865,2653,392
1000,853,1901,413
1000,173,3332,374
1000,959,373,350
1000,611,7246,287
1000,103,6410,310
1000,858,9335,234
1000,204,4262,331
1000,557,6973,391
1000,744,1000,359
1000,40,9772,392
1000,855,4258,329
1000,184,1000,294
1000,984,3030,285
1000,367,7704,337
1000,93,6064,566
1000,37,9920,470
1000,807,2592,537
1000,256,1920,463
1000,350,8674,466
1000,490,3450,381
1000,73,4932,364
1000,71,3618,331
1000,681,2864,488
1000,358,7144,373
1000,989,951,329
1000,515,7653,380
1000,22,3188,408
1000,635,1662,373
1000,735,2029,469
1000,865,2653,405
1000,853,1901,404
1000,173,3332,371
1000,959,373,333
1000,611,7246,284
1000,103,6410,390
1000,858,9335,271
1000,204,4262,360
1000,557,6973,469
1000,744,1000,374
1000,40,9772,338
1000,855,4258,325
1000,184,1000,382
1000,984,3030,322
1000,367,7704,334
1000,93,6064,561
1000,37,9920,505
1000,807,2592,526
1000,256,1920,432
1000,350,8674,443
1000,490,3450,379
1000,73,4932,377
1000,71,3618,351
1000,681,2864,409
1000,358,7144,377
1000,989,951,294
1000,515,7653,388
1000,22,3188,440
1000,635,1662,389
1000,735,2029,425
1000,865,2653,469
1000,853,1901,432
1000,173,3332,432
1000,959,373,330
1000,611,7246,313
1000,103,6410,365
1000,858,9335,339
1000,204,4262,457
1000,557,6973,471
1000,744,1000,466
1000,40,9772,400
1000,855,4258,352
1000,184,1000,365
1000,984,3030,327
1000,367,7704,332
1000,93,6064,617
1000,37,9920,457
1000,807,2592,488
1000,256,1920,402
1000,350,8674,493
1000,490,3450,362
1000,73,4932,363
1000,71,3618,298
1000,681,2864,480
1000,358,7144,359
1000,989,951,301
1000,515,7653,368
1000,22,3188,396
1000,635,1662,370
1000,735,2029,354
1000,865,2653,366
1000,853,1901,336
1000,173,3332,388
1000,959,373,293
1000,611,7246,311
1000,103,6410,320
1000,858,9335,237
1000,204,4262,315
1000,557,6973,377
1000,744,1000,384
1000,40,9772,319
1000,855,4258,274
1000,184,1000,372
1000,984,3030,425
1000,367,7704,345
1000,93,6064,648
1000,37,9920,457
1000,807,2592,435
1000,256,1920,443
1000,350,8674,392
1000,490,3450,539
1000,73,4932,563
1000,71,3618,441
1000,681,2864,554
1000,358,7144,458
1000,989,951,279
1000,515,7653,400
1000,22,3188,386
1000,635,1662,433
1000,735,2029,520
1000,865,2653,311
1000,853,1901,358
1000,173,3332,450
1000,959,373,292
1000,611,7246,294
1000,103,6410,286
1000,858,9335,279
1000,204,4262,337
1000,557,6973,347
1000,744,1000,365
1000,40,9772,342
1000,855,4258,322
1000,184,1000,326
1000,984,3030,1016
1000,367,7704,403
1000,93,6064,593
1000,37,9920,546
1000,807,2592,547
1000,256,1920,462
1000,350,8674,380
1000,490,3450,389
1000,73,4932,319
1000,71,3618,210
1000,681,2864,456
1000,358,7144,384
1000,989,951,284
1000,515,7653,349
1000,22,3188,389
1000,635,1662,361
1000,735,2029,353
1000,865,2653,380
1000,853,1901,357
1000,173,3332,366
1000,959,373,300
1000,611,7246,309
1000,103,6410,306
1000,858,9335,268
1000,204,4262,269
1000,557,6973,393
1000,744,1000,402
1000,40,9772,534
1000,855,4258,340
1000,184,1000,371
1000,984,3030,294
1000,367,7704,342
1000,93,6064,643
1000,37,9920,429
1000,807,2592,533
1000,256,1920,438
1000,350,8674,406
1000,490,3450,349
1000,73,4932,370
1000,71,3618,287
1000,681,2864,473
1000,358,7144,384
1000,989,951,270
1000,515,7653,398
1000,22,3188,404
1000,635,1662,388
1000,735,2029,420
1000,865,2653,338
1000,853,1901,383
1000,173,3332,431
1000,959,373,312
1000,611,7246,314
1000,103,6410,352
1000,858,9335,302
1000,204,4262,387
1000,557,6973,398
1000,744,1000,422
1000,40,9772,358
1000,855,4258,329
1000,184,1000,333
1000,984,3030,298
1000,367,7704,325
1000,93,6064,544
1000,37,9920,463
1000,807,2592,524
1000,256,1920,468
1000,350,8674,565
1000,490,3450,402
1000,73,4932,376
1000,71,3618,316
1000,681,2864,533
1000,358,7144,416
1000,989,951,352
1000,515,7653,496
1000,22,3188,389
1000,635,1662,385
1000,735,2029,433
1000,865,2653,357
1000,853,1901,346
1000,173,3332,403
1000,959,373,350
1000,611,7246,311
1000,103,6410,316
1000,858,9335,233
1000,204,4262,382
1000,557,6973,361
1000,744,1000,371
1000,40,9772,303
1000,855,4258,273
1000,184,1000,507
1000,984,3030,429
1000,367,7704,401
1000,93,6064,754
1000,37,9920,452
1000,807,2592,540
1000,256,1920,431
1000,350,8674,422
1000,490,3450,372
1000,73,4932,375
1000,71,3618,350
1000,681,2864,586
1000,358,7144,389
1000,989,951,312
1000,515,7653,383
1000,22,3188,392
1000,635,1662,409
1000,735,2029,456
1000,865,2653,409
1000,853,1901,394
1000,173,3332,462
1000,959,373,303
1000,611,7246,356
1000,103,6410,390
1000,858,9335,319
1000,204,4262,377
1000,557,6973,422
1000,744,1000,456
1000,40,9772,408
1000,855,4258,359
1000,184,1000,331
1000,984,3030,330
1000,367,7704,373
1000,93,6064,562
1000,37,9920,493
1000,807,2592,539
1000,256,1920,420
1000,350,8674,595
1000,490,3450,354
1000,73,4932,304
1000,71,3618,272
1000,681,2864,452
1000,358,7144,338
1000,989,951,264
1000,515,7653,388
1000,22,3188,407
1000,635,1662,382
1000,735,2029,358
1000,865,2653,357
1000,853,1901,376
1000,173,3332,384
1000,959,373,301
1000,611,7246,312
1000,103,6410,369
1000,858,9335,283
1000,204,4262,410
1000,557,6973,439
