size,index,value,update_ns
1000,93,6064,182093
1000,37,9920,184361
1000,807,2592,176132
1000,256,1920,174780
1000,350,8674,173492
1000,490,3450,172225
1000,73,4932,177572
1000,71,3618,172068
1000,681,2864,171881
1000,358,7144,171634
1000,989,951,171112
1000,515,7653,171623
1000,22,3188,188505
1000,635,1662,171666
1000,735,2029,171133
1000,865,2653,192192
1000,853,1901,171571
1000,173,3332,170665
1000,959,373,170654
1000,611,7246,170266
1000,103,6410,176459
1000,858,9335,185376
1000,204,4262,170522
1000,557,6973,170657
1000,744,1000,185225
1000,40,9772,178377
1000,855,4258,170773
1000,184,1000,170426
1000,984,3030,170421
1000,367,7704,176719
1000,93,6064,182471
1000,37,9920,185313
1000,807,2592,175825
1000,256,1920,174168
1000,350,8674,173008
1000,490,3450,172537
1000,73,4932,180638
1000,71,3618,171896
1000,681,2864,172670
1000,358,7144,171827
1000,989,951,171230
1000,515,7653,171278
1000,22,3188,170644
1000,635,1662,170072
1000,735,2029,170075
1000,865,2653,175626
1000,853,1901,170281
1000,173,3332,170082
1000,959,373,169613
1000,611,7246,169378
1000,103,6410,175252
1000,858,9335,169769
1000,204,4262,169662
1000,557,6973,169710
1000,744,1000,170160
1000,40,9772,169893
1000,855,4258,169507
1000,184,1000,169603
1000,984,3030,169732
1000,367,7704,169216
1000,93,6064,182158
1000,37,9920,178288
1000,807,2592,193475
1000,256,1920,174910
1000,350,8674,173275
1000,490,3450,173425
1000,73,4932,171665
1000,71,3618,176928
1000,681,2864,171905
1000,358,7144,171626
1000,989,951,171256
1000,515,7653,177139
1000,22,3188,171132
1000,635,1662,170701
1000,735,2029,170614
1000,865,2653,188948
1000,853,1901,176837
1000,173,3332,170688
1000,959,373,170226
1000,611,7246,169929
1000,103,6410,169954
1000,858,9335,188848
1000,204,4262,170419
1000,557,6973,170334
1000,744,1000,170442
1000,40,9772,174289
1000,855,4258,170247
1000,184,1000,170032
1000,984,3030,169696
1000,367,7704,177495
1000,93,6064,182277
1000,37,9920,178679
1000,807,2592,176038
1000,256,1920,192844
1000,350,8674,174268
1000,490,3450,173529
1000,73,4932,172373
1000,71,3618,178837
1000,681,2864,171899
1000,358,7144,171691
1000,989,951,171013
1000,515,7653,170569
1000,22,3188,176234
1000,635,1662,170388
1000,735,2029,171007
1000,865,2653,170717
1000,853,1901,170524
1000,173,3332,192490
1000,959,373,170691
1000,611,7246,170042
1000,103,6410,170141
1000,858,9335,170056
1000,204,4262,170357
1000,557,6973,170522
1000,744,1000,170237
1000,40,9772,170094
1000,855,4258,174980
1000,184,1000,170317
1000,984,3030,170013
1000,367,7704,169904
1000,93,6064,182742
1000,37,9920,178770
1000,807,2592,176120
1000,256,1920,174922
1000,350,8674,174165
1000,490,3450,173762
1000,73,4932,172276
1000,71,3618,171718
1000,681,2864,172268
1000,358,7144,171976
1000,989,951,189396
1000,515,7653,185895
1000,22,3188,180209
1000,635,1662,171270
1000,735,2029,171254
1000,865,2653,171104
1000,853,1901,171009
1000,173,3332,176351
1000,959,373,170715
1000,611,7246,170369
1000,103,6410,170499
1000,858,9335,170473
1000,204,4262,175502
1000,557,6973,170802
1000,744,1000,170546
1000,40,9772,170498
1000,855,4258,175007
1000,184,1000,170105
1000,984,3030,170064
1000,367,7704,170079
1000,93,6064,182489
1000,37,9920,178391
1000,807,2592,176215
1000,256,1920,174826
1000,350,8674,213097
1000,490,3450,174566
1000,73,4932,172509
1000,71,3618,172018
1000,681,2864,181621
1000,358,7144,172070
1000,989,951,171550
1000,515,7653,171556
1000,22,3188,170929
1000,635,1662,177127
1000,735,2029,170605
1000,865,2653,170202
1000,853,1901,170314
1000,173,3332,170279
1000,959,373,170151
1000,611,7246,169818
1000,103,6410,170003
1000,858,9335,169979
1000,204,4262,169978
1000,557,6973,170242
1000,744,1000,170426
1000,40,9772,170047
1000,855,4258,169857
1000,184,1000,174916
1000,984,3030,170190
1000,367,7704,169880
1000,93,6064,191003
1000,37,9920,178465
1000,807,2592,176175
1000,256,1920,174121
1000,350,8674,180587
1000,490,3450,190051
1000,73,4932,173146
1000,71,3618,171783
1000,681,2864,172222
1000,358,7144,176155
1000,989,951,171512
1000,515,7653,171261
1000,22,3188,170881
1000,635,1662,170763
1000,735,2029,170641
1000,865,2653,170358
1000,853,1901,170350
1000,173,3332,169945
1000,959,373,175366
1000,611,7246,169946
1000,103,6410,169691
1000,858,9335,169570
1000,204,4262,170117
1000,557,6973,175432
1000,744,1000,170404
1000,40,9772,180823
1000,855,4258,171688
1000,184,1000,170161
1000,984,3030,178656
1000,367,7704,170182
1000,93,6064,181684
1000,37,9920,178447
1000,807,2592,176418
1000,256,1920,174608
1000,350,8674,173984
1000,490,3450,180580
1000,73,4932,172428
1000,71,3618,172038
1000,681,2864,171796
1000,358,7144,171315
1000,989,951,170938
1000,515,7653,170235
1000,22,3188,170233
1000,635,1662,170499
1000,735,2029,176957
1000,865,2653,170381
1000,853,1901,170138
1000,173,3332,169983
1000,959,373,170214
1000,611,7246,175391
1000,103,6410,169460
1000,858,9335,169576
1000,204,4262,169659
1000,557,6973,169839
1000,744,1000,175170
1000,40,9772,170243
1000,855,4258,170151
1000,184,1000,170016
1000,984,3030,170147
1000,367,7704,175206
1000,93,6064,182028
1000,37,9920,193165
1000,807,2592,176238
1000,256,1920,175032
1000,350,8674,173653
1000,490,3450,172756
1000,73,4932,178198
1000,71,3618,171870
1000,681,2864,178333
1000,358,7144,171861
1000,989,951,178675
1000,515,7653,171279
1000,22,3188,170900
1000,635,1662,170528
1000,735,2029,170593
1000,865,2653,175477
1000,853,1901,170725
1000,173,3332,170053
1000,959,373,169968
1000,611,7246,169974
1000,103,6410,175340
1000,858,9335,169949
1000,204,4262,169908
1000,557,6973,170204
1000,744,1000,174987
1000,40,9772,170214
1000,855,4258,170321
1000,184,1000,170578
1000,984,3030,169942
1000,367,7704,169653
1000,93,6064,182037
1000,37,9920,178343
1000,807,2592,197516
1000,256,1920,174965
1000,350,8674,174344
1000,490,3450,172731
1000,73,4932,171971
1000,71,3618,179705
1000,681,2864,171986
1000,358,7144,174546
1000,989,951,171058
1000,515,7653,176210
1000,22,3188,170869
1000,635,1662,170671
1000,735,2029,170354
1000,865,2653,170276
1000,853,1901,176648
1000,173,3332,170096
1000,959,373,169717
1000,611,7246,169467
1000,103,6410,169937
1000,858,9335,174137
1000,204,4262,169966
1000,557,6973,170323
1000,744,1000,169999
1000,40,9772,169904
1000,855,4258,169918
1000,184,1000,170278
1000,984,3030,169694
1000,367,7704,169284
1000,93,6064,182704
1000,37,9920,178430
1000,807,2592,176137
1000,256,1920,184405
1000,350,8674,173894
1000,490,3450,173103
1000,73,4932,172135
